"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 30 15:38:56 AMT 2021","Tue Nov 30 15:38:56 AMT 2021","116","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Given I move mouse to navigation menu ""4"" items","Given I move mouse to navigation menu ""4"" items",""
"passed","Tue Nov 30 15:38:13 AMT 2021","Tue Nov 30 15:38:14 AMT 2021","53","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Given I move mouse to navigation menu ""1"" items","Given I move mouse to navigation menu ""1"" items",""
"passed","Tue Nov 30 15:39:10 AMT 2021","Tue Nov 30 15:39:10 AMT 2021","127","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Given I move mouse to navigation menu ""5"" items","Given I move mouse to navigation menu ""5"" items",""
"passed","Tue Nov 30 15:37:52 AMT 2021","Tue Nov 30 15:37:53 AMT 2021","1003","","Epam page: open Epam page check title","","Epam page: open Epam page check title","Then I wait 1 seconds","Then I wait 1 seconds",""
"passed","Tue Nov 30 15:39:40 AMT 2021","Tue Nov 30 15:39:40 AMT 2021","10","","Epam page: 'Our Work' page","","Epam page: 'Our Work' page","Then Page title should be 'Explore our Work | EPAM Customer Stories, Brochures & Accelerators'","Then Page title should be 'Explore our Work | EPAM Customer Stories, Brochures & Accelerators'",""
"passed","Tue Nov 30 15:39:28 AMT 2021","Tue Nov 30 15:39:28 AMT 2021","24","","Epam page: Search","","Epam page: Search","And Should see search results","And Should see search results",""
"passed","Tue Nov 30 15:38:14 AMT 2021","Tue Nov 30 15:38:22 AMT 2021","8106","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Then Each menu item ""1"" should change color to ""rgba(123,187,198,1)""","Then Each menu item ""1"" should change color to ""rgba(123,187,198,1)""",""
"passed","Tue Nov 30 15:38:28 AMT 2021","Tue Nov 30 15:38:36 AMT 2021","8113","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Then Each menu item ""2"" should change color to ""rgba(118,205,216,1)""","Then Each menu item ""2"" should change color to ""rgba(118,205,216,1)""",""
"passed","Tue Nov 30 15:39:04 AMT 2021","Tue Nov 30 15:39:10 AMT 2021","5710","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Given I open epam.com","Given I open epam.com",""
"passed","Tue Nov 30 15:37:49 AMT 2021","Tue Nov 30 15:37:52 AMT 2021","3030","","Epam page: open Epam page check title","","Epam page: open Epam page check title","When Page title should be 'EPAM | Enterprise Software Development, Design & Consulting'","When Page title should be 'EPAM | Enterprise Software Development, Design & Consulting'",""
"passed","Tue Nov 30 15:38:42 AMT 2021","Tue Nov 30 15:38:42 AMT 2021","64","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Given I move mouse to navigation menu ""3"" items","Given I move mouse to navigation menu ""3"" items",""
"passed","Tue Nov 30 15:37:59 AMT 2021","Tue Nov 30 15:37:59 AMT 2021","95","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Given I move mouse to navigation menu ""0"" items","Given I move mouse to navigation menu ""0"" items",""
"passed","Tue Nov 30 15:39:26 AMT 2021","Tue Nov 30 15:39:26 AMT 2021","29","","Epam page: Search","","Epam page: Search","Then Should open search field","Then Should open search field",""
"passed","Tue Nov 30 15:39:28 AMT 2021","Tue Nov 30 15:39:33 AMT 2021","5711","","Epam page: 'Our Work' page","","Epam page: 'Our Work' page","Given I open epam.com","Given I open epam.com",""
"passed","Tue Nov 30 15:37:53 AMT 2021","Tue Nov 30 15:37:53 AMT 2021","1","","Epam page: open Epam page check title","","Epam page: open Epam page check title","","",""
"passed","Tue Nov 30 15:39:26 AMT 2021","Tue Nov 30 15:39:28 AMT 2021","1825","","Epam page: Search","","Epam page: Search","When I set the searching word and click search icon","When I set the searching word and click search icon",""
"passed","Tue Nov 30 15:39:40 AMT 2021","Tue Nov 30 15:40:01 AMT 2021","20330","","Epam page: 'Our Work' page","","Epam page: 'Our Work' page","When I fill 'Filter By' fields","When I fill 'Filter By' fields",""
"passed","Tue Nov 30 15:39:10 AMT 2021","Tue Nov 30 15:39:18 AMT 2021","8100","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Then Each menu item ""5"" should change color to ""rgba(118,205,216,1)""","Then Each menu item ""5"" should change color to ""rgba(118,205,216,1)""",""
"passed","Tue Nov 30 15:38:27 AMT 2021","Tue Nov 30 15:38:28 AMT 2021","110","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Given I move mouse to navigation menu ""2"" items","Given I move mouse to navigation menu ""2"" items",""
"passed","Tue Nov 30 15:39:18 AMT 2021","Tue Nov 30 15:39:24 AMT 2021","5795","","Epam page: Search","","Epam page: Search","Given I open epam.com","Given I open epam.com",""
"passed","Tue Nov 30 15:39:18 AMT 2021","Tue Nov 30 15:39:18 AMT 2021","0","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","","",""
"passed","Tue Nov 30 15:38:56 AMT 2021","Tue Nov 30 15:39:04 AMT 2021","8102","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Then Each menu item ""4"" should change color to ""rgba(118,205,216,1)""","Then Each menu item ""4"" should change color to ""rgba(118,205,216,1)""",""
"passed","Tue Nov 30 15:40:01 AMT 2021","Tue Nov 30 15:40:06 AMT 2021","5084","","Epam page: 'Our Work' page","","Epam page: 'Our Work' page","Then Should see filters","Then Should see filters",""
"passed","Tue Nov 30 15:40:06 AMT 2021","Tue Nov 30 15:40:06 AMT 2021","0","","Epam page: 'Our Work' page","","Epam page: 'Our Work' page","","",""
"passed","Tue Nov 30 15:37:59 AMT 2021","Tue Nov 30 15:38:07 AMT 2021","8107","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Then Each menu item ""0"" should change color to ""rgba(118,205,216,1)""","Then Each menu item ""0"" should change color to ""rgba(118,205,216,1)""",""
"passed","Tue Nov 30 15:37:27 AMT 2021","Tue Nov 30 15:37:49 AMT 2021","21125","","Epam page: open Epam page check title","","Epam page: open Epam page check title","Given I open epam.com","Given I open epam.com",""
"passed","Tue Nov 30 15:39:33 AMT 2021","Tue Nov 30 15:39:40 AMT 2021","6920","","Epam page: 'Our Work' page","","Epam page: 'Our Work' page","Given I go to 'Our Work' page","Given I go to 'Our Work' page",""
"passed","Tue Nov 30 15:38:42 AMT 2021","Tue Nov 30 15:38:50 AMT 2021","8118","","Epam page: Navigation menu hover","","Epam page: Navigation menu hover","Then Each menu item ""3"" should change color to ""rgba(123,187,198,1)""","Then Each menu item ""3"" should change color to ""rgba(123,187,198,1)""",""
"passed","Tue Nov 30 15:39:28 AMT 2021","Tue Nov 30 15:39:28 AMT 2021","0","","Epam page: Search","","Epam page: Search","","",""
"passed","Tue Nov 30 15:39:24 AMT 2021","Tue Nov 30 15:39:26 AMT 2021","2068","","Epam page: Search","","Epam page: Search","Given I click on the Search icon","Given I click on the Search icon",""
